date,shift_name,staff_floor,staff_kitchen,hours_worked
2026-02-09,Mediodia,1,1,8.5
2026-02-09,Tarde,1,1,8.97
2026-02-09,Noche,2,2,13.72
2026-02-10,Mediodia,1,2,13.0
2026-02-10,Tarde,1,1,8.97
2026-02-10,Noche,2,2,13.0
2026-02-11,Mediodia,1,2,10.5
2026-02-11,Tarde,1,1,9.43
2026-02-11,Noche,2,2,11.85
2026-02-12,Mediodia,1,2,10.5
2026-02-12,Tarde,1,1,8.97
2026-02-12,Noche,2,2,14.0
2026-02-13,Mediodia,2,2,15.0
2026-02-13,Tarde,2,1,12.13
2026-02-13,Noche,2,2,15.1
2026-02-14,Mediodia,2,2,17.0
2026-02-14,Tarde,1,2,11.95
2026-02-14,Noche,2,2,13.58
2026-02-15,Mediodia,2,2,15.5
2026-02-15,Tarde,2,1,12.3
2026-02-15,Noche,2,2,13.25
